"","Culture","PromLong","PromLat","Dated_Mean"
"293","Latvia_HG_2",25.13,56.28,7964
"294","Latvia_HG_3",25.13,56.28,8373.66666666667
"295","Latvia_HG_4",25.13,56.28,9218
"296","Latvia_LN_0",25.13,56.28,4842
"297","Latvia_MN_0",25.13,56.28,6053.71428571429
"298","Lithuania_BA_0",23.33,54.36,3000.25
"299","Lithuania_EMN_0",25.028,55.472,6167.2
"300","Lithuania_EMN_1",24.26,55.535,6457
"301","Lithuania_EMN_2",22.42,55.81,7110
"302","Lithuania_Late_Antiquity_0",24.23,55.74,1600
"303","Lithuania_LBA_0",23.3,54.36,2653
"304","Lithuania_LN_0",24.28,55.665,4511.5
"305","Lithuania_LN_1",23.65,55.41,4842
"306","Lithuania_LN_2",22.42,55.77,3880
"307","Lithuania_Mesolithic_0",23.42,55.79,8049.5
"308","Luxembourg_Loschbour_0",6.4,49.81,8025
"309","Macedonia_N_0",21.35,41.9,7792
"310","Moldova_Cimmerian_0",29.3566666666667,46.7333333333333,2835
"311","Moldova_Glinoe_0",29.8,46.67,2252
"312","Moldova_Glinoe_1",29.8,46.67,1616
"313","Moldova_Glinoe_2",29.8,46.67,2227.28571428571
"314","Montenegro_IA_0",18.74,42.38,2550
"315","Montenegro_LBA_0",18.74,42.38,2950
"316","Netherlands_BA_0",5.1,52.73,3710
"317","Netherlands_BellBeaker_0",5.1,52.73,4383
"318","Netherlands_BellBeaker_1",5.1,52.73,3995.5
"319","Netherlands_BellBeaker_2",5.1,52.73,3766.5
"320","Norway_IA_0",10.965,62.5525,1611.25
"321","Norway_LN_0",18,69.47,4347
"322","Norway_Medieval_0",10.39,63.43,750
"323","Norway_Mesolithic_0",7.74,58.06,9364
"324","Norway_N_0",14.68,67.81,5857
"325","Norway_Viking_0",13.1690909090909,65.7854545454545,1136.36363636364
"326","Norway_Viking_1",15.66,68.34,800
"327","Norway_Viking_2",11.7641176470588,63.0329411764706,1002.94117647059
"328","Orcadian_0",-3,59,0
"329","Poland_BellBeaker_0",18.505,50.505,4169.6
"330","Poland_BKG_0",19.4575,52.125,6180.375
"331","Poland_ChopiceVeseleCulture_0",18.215,50.17,4121.5
"332","Poland_CordedWare_0",16.54,52.14,4125
"333","Poland_CWC_0",18.3542857142857,52.4814285714286,4507.57142857143
"334","Poland_EBA_0",17.3128571428571,51.18,3905.85714285714
"335","Poland_GAC_0",18.9,52.61,4959
"336","Poland_Globular_0",17.88,52.85,4963
"337","Poland_Koszyce_0",21.2,48.7,4724.73333333333
"338","Poland_Ksiaznice_0",21.4,50.2,5225
"339","Poland_Ksiaznice_1",21.4,50.2,4737
"340","Poland_Ksiaznice_2",21.4,50.2,4721
"341","Poland_Medieval_0",17.05,51.46,800
"342","Poland_Mierzanowice_0",21.5,50.8,4725
"343","Poland_Sandomierz_0",21.7,50.6,4761.5
"344","Poland_Southeast_BellBeaker_0",20.57,50.36,4245.66666666667
"345","Poland_Southeast_CordedWare_0",22.43,50.080625,4321
"346","Poland_TRB_0",18.96,52.62,5472
"347","Poland_Viking_0",18.93375,52.3925,958.375
"348","Poland_Wilczyce_0",17.1,51.1,4725
"349","Polish_0",21.02,52.23,0
"350","Portugal_C_0",-4.57375,39.04375,4623.125
"351","Portugal_C_1",-8.4225,38.755,5037.625
"352","Portugal_C_2",-8.62,39.5,4253.5
"353","Portugal_EBA_0",-8.13,39.67,3900
"354","Portugal_Geometric_Mesolithic_0",-8.65,39.25,8067
"355","Portugal_LBA_0",-8.52,40.09,2900
"356","Portugal_LN_0",-8.59,37.2,4954
"357","Portugal_LN_1",-9.22,38.75,4186
"358","Portugal_LN_2",-8.43,39.92,5450
"359","Portugal_MBA_0",-8.318,37.718,3529.2
"360","Portugal_MN_0",-8.82,39.41,5950
"361","Portugal_MN_1",-6.93,41.71,4380
"362","Portugal_MN_2",-6.93,41.71,4849
"363","Romania_C_0",23.52,46.79,5389
"364","Romania_C_Bodrogkeresztur_0",22.4,47.75,6191
"365","Romania_C_Bodrogkeresztur_1",22.4,47.75,5636
"366","Romania_Cioclovina_0",23.84,45.35,32669
"367","Romania_EN_0",25.455,44.87,7492.5
"368","Romania_IronGates_Mesolithic_0",22.6571428571429,44.5828571428571,8718.42857142857
"369","Romania_IronGates_Mesolithic_1",22.6466666666667,44.5933333333333,9104.33333333333
"370","Romania_IronGates_Mesolithic_2",25.39,44.03,7670
"371","Romania_Muierii_0",23.46,45.11,33646
"372","Romania_Oase_0",21.9,45.12,38033
"373","Russia_Bolshoy_0",33.48,69.22,3727.5
"374","Russia_Caucasus_LBA_0",38.17,44.58,3275
"375","Russia_Chalmny_Varre_0",37.59,67.17,150
"376","Russia_EHG_0",35.36,62.05,7200
"377","Russia_HG_0",38.91,61.26,6950
"378","Russia_HG_1",35.65,61.65,8450
"379","Russia_IA_2",28.7866666666667,59.4633333333333,1812.66666666667
"380","Russia_Kostenki_0",39.3,51.23,38052
"381","Russia_Kostenki_2",39.3,51.23,32650
"382","Russia_LateMaikop_0",39.91,45.05,5151.33333333333
"383","Russia_Medieval_0",39.54,47.28,1000
"384","Russia_Popovo_0",38.91,61.26,8200
"385","Russia_SaltovoMayaki_0",37.42,50.3566666666667,1173.33333333333
"386","Russia_Sarmatian_0",39.5414285714286,47.2857142857143,2300
"387","Russia_Viking_0",32.1375757575758,57.8951515151515,922.727272727273
"388","Russian_0",40,61,0
"389","Saami_0",27.03,69.91,0
"390","Sardinian_0",9,40,0
"391","Scotland_BellBeaker_0",-4.93,57.52,4271
"392","Scotland_C_EBA_0",-2.9475,56.435,3947.75
"393","Scotland_C_EBA_1",-2.84333333333333,55.8466666666667,4125.33333333333
"394","Scotland_C_EBA_2",-3.2125,56.8525,3586.5
"395","Scotland_LBA_0",-3.292,57.37,2880.4
"396","Scotland_M_0",-6.24,56.01,6290
"397","Scotland_MBA_0",-3.91,56.5425,3295.75
"398","Scotland_Megalithic_0",-3.24,58.7825,5236.75
"399","Scotland_N_0",-4.70923076923077,57.17,5432.07692307692
"400","Scotland_N_1",-2.92,58.74,4684.8
"401","Scotland_N_2",-5.01166666666667,56.9733333333333,5677.58333333333
"402","Scotland_N_3",-3.40785714285714,58.4728571428571,5108.28571428571
"403","Scotland_Viking_0",-3.092,59.05,1008.4
"404","Scotland_Viking_1",-3.32,59.13,1450
"405","Scotland_Viking_2",-3.035,59.03,1545
"406","Serbia_EN_0",19.75,44.9,6560
"407","Serbia_EN_1",19.75,44.9,6482
"408","Serbia_EN_2",20.415,44.695,7512
"409","Serbia_IronGates_Mesolithic_0",22.1842857142857,44.6057142857143,8059.71428571429
