Index	Genetic_ID	Source	Date_mean	Group_ID	Locality	Country	Latitude	Longitude	Sex
S_Finnish-1.DG	HG00174	MallickNature2016	0	Finnish.DG	..	Finland	60.2	24.9	F
S_Sardinian-1.DG	HGDP01079	MallickNature2016	0	Sardinian.DG	Sardinia	Italy	40.0	9.0	M
S_Russian-1.DG	HGDP00887	MallickNature2016	0	Russian.DG	Vologda Administrative Region	Russia	61.0	40.0	M
S_Tuscan-2.DG	HGDP01163	MallickNature2016	0	Tuscan_1.DG	Tuscany	Italy	43.0	11.0	M
S_Basque-2.DG	HGDP01365	MallickNature2016	0	Basque.DG	..	France	43.0	0.0	F
S_Orcadian-2.DG	HGDP00796	MallickNature2016	0	Orcadian.DG	..	Orkney Islands	59.0	-3.0	F
S_Finnish-2.DG	HG00190	MallickNature2016	0	Finnish.DG	..	Finland	60.2	24.9	M
B_French-3.DG	HGDP00533	PrueferNature2013	0	French.DG	..	France	46.0	2.0	M
S_Armenian-2.DG	S_Armenian-2	MallickNature2016	0	Armenian.DG	Kars (ancestors from Kars, born in Akhuzyan)	Armenia	40.604517	43.100758	M
S_Mansi-1.DG	Mansi79	MallickNature2016	0	Mansi.DG	Sos'va river, Western Siberia	Russia	63.8	61.45	M
S_Turkish-2.DG	S_Turkish-2	MallickNature2016	0	Turkish.DG	Kayseri	Turkey	38.73333333	35.48333333	F
S_Turkish-1.DG	S_Turkish-1	MallickNature2016	0	Turkish.DG	Kayseri	Turkey	38.73333333	35.48333333	M
S_Spanish-2.DG	HG01504	MallickNature2016	0	Spanish.DG	Castilla la Mancha	Spain	39.9	-4.0	F
S_Iranian-2.DG	iran11	MallickNature2016	0	Iranian.DG	Iran migrants sampled in Kuwait	Iran	35.585852	51.459961	M
S_Greek-2.DG	NA17374	MallickNature2016	0	Greek_2.DG	..	Greece	37.96666667	23.71666667	M
S_North_Ossetian-1.DG	NorthOssetia12	MallickNature2016	0	Russia_NorthOssetian.DG	Vladikavkaz, Republic of North Ossetia Alania	Russia	43.016667	44.65	M
S_Jordanian-1.DG	Jordan445	MallickNature2016	0	Jordanian.DG	Jordan migrants sampled in Kuwait	Jordan	32.054645	35.914307	M
S_Orcadian-1.DG	HGDP00798	MallickNature2016	0	Orcadian.DG	..	Orkney Islands	59.0	-3.0	M
S_Basque-1.DG	HGDP01364	MallickNature2016	0	Basque.DG	..	France	43.0	0.0	M
S_Palestinian-1.DG	HGDP00722	MallickNature2016	0	Palestinian.DG	Central	Israel	32.0	35.0	M
S_Georgian-2.DG	mg31	MallickNature2016	0	Georgian.DG	Zugdidi in Megrelia	Georgia	42.5	41.85	M
S_Sardinian-2.DG	HGDP01078	MallickNature2016	0	Sardinian.DG	Sardinia	Italy	40.0	9.0	F
S_Chechen-1.DG	ch113	MallickNature2016	0	Chechen.DG	Grozny, Chechen Republic	Russia	43.333333	45.65	M
S_Abkhasian-2.DG	S_Abkhasian-2	MallickNature2016	0	Russia_Abkhasian.DG	Sukhum	Russia	43.003333000000005	41.015278	M
S_Icelandic-1.DG	NA15761	MallickNature2016	0	Icelandic.DG	..	Iceland	64.13333333	-21.93333333	F
S_Saami-1.DG	S_Saami-1	MallickNature2016	0	Saami.DG	Utsjoki	Finland	69.91	27.03	F
S_English-2.DG	HG00128	MallickNature2016	0	English.DG	Kent	Great Britain	51.19	0.73	F
S_Saami-2.DG	S_Saami-2	MallickNature2016	0	Saami.DG	Utsjoki	Finland	69.91	27.03	M
S_Samaritan-1.DG	S_Samaritan-1	MallickNature2016	0	Samaritan.DG	Mount Gerizim	Israel	32.203399	35.270081	M
S_Palestinian-2.DG	HGDP00725	MallickNature2016	0	Palestinian.DG	Central	Israel	32.0	35.0	F
S_Mozabite-1.DG	HGDP01253	MallickNature2016	0	Mozabite.DG	..	Algeria	32.0	3.0	M
S_Druze-2.DG	HGDP00597	MallickNature2016	0	Druze.DG	Carmel	Israel	32.0	35.0	M
S_Hungarian-2.DG	NA15202	MallickNature2016	0	Hungarian.DG	..	Hungary	47.5	19.1	M
S_Bulgarian-1.DG	BulgarianB4	MallickNature2016	0	Bulgarian.DG	Plovdiv	Bulgaria	42.163403	24.741211	M
S_North_Ossetian-2.DG	NorthOssetia5	MallickNature2016	0	Russia_NorthOssetian.DG	Vladikavkaz, Republic of North Ossetia Alania	Russia	43.016667	44.65	M
S_Adygei-2.DG	HGDP01401	MallickNature2016	0	Adygei.DG	Krasnodar	Russia	44.0	39.0	F
S_Bergamo-2.DG	HGDP01172	MallickNature2016	0	Bergamo.DG	Bergamo	Italy	46.0	10.0	F
S_French-2.DG	HGDP00526	MallickNature2016	0	French.DG	..	France	46.0	2.0	F
S_Mozabite-2.DG	HGDP01274	MallickNature2016	0	Mozabite.DG	..	Algeria	32.0	3.0	F
S_Palestinian-3.DG	HGDP00737	MallickNature2016	0	Palestinian.DG	Central	Israel	32.0	35.0	F
S_Bulgarian-2.DG	BulgarianC1	MallickNature2016	0	Bulgarian.DG	Plovdiv	Bulgaria	42.163403	24.741211	M
S_Georgian-1.DG	mg27	MallickNature2016	0	Georgian.DG	Zugdidi in Megrelia	Georgia	42.5	41.85	M
S_Albanian-1.DG	ALB212	MallickNature2016	0	Albanian.DG	Tirana	Albania	41.33	19.83	F
Loschbour_snpAD.DG	I0001	Pruefer2017	8025	Luxembourg_Loschbour.DG	Echternach	Luxembourg	49.81	6.4	M
Vindija_snpAD.DG	Vindija	Pruefer2017	50000	Vindija_Neanderthal.DG	Vindija Cave	Croatia	46.299167	16.070556	F
Loschbour_published.DG	I0001	LazaridisNature2014	8025	Luxembourg_Loschbour_published.DG	Echternach	Luxembourg	49.81	6.4	M
Stuttgart_published.DG	I0018	LazaridisNature2014	7168	Germany_EN_LBK_Stuttgart_published.DG	Baden-Württemberg, Stuttgart-Mühlhausen, Viesenhaeuser Hof	Germany	48.78	9.18	F
S_Estonian-1.DG	Est375	MallickNature2016	0	Estonian.DG	Parnu	Estonia	58.385571999999996	24.502154	M
S_Lezgin-1.DG	lez49	MallickNature2016	0	Lezgin.DG	Dagestanskiye Ogni, Dagestan	Russia	42.116667	48.183333000000005	M
Bar31.SG	Bar31	HofmanovaPNAS2016	8272	Turkey_N.SG	Northwest Anatolia, Marmara, Barcın	Turkey	40.3037	29.6085	M
Bar8.SG	Bar8	HofmanovaPNAS2016	8064	Turkey_N.SG	Northwest Anatolia, Marmara, Barcın	Turkey	40.3037	29.6085	F
Klei10.SG	Klei10	HofmanovaPNAS2016	6348	Greece_LN_2.SG	Kleitos	Greece	40.4317	21.8588	M
Pal7.SG	Pal7	HofmanovaPNAS2016	6348	Greece_LN_2.SG	Paliambela	Greece	39.7517	22.0096	F
Rev5.SG	Rev5	HofmanovaPNAS2016	8316	Greece_N.SG	Revenia	Greece	39.4886	20.9177	F
AH1.SG	AH1	BroushakiScience2016	9925	Iran_TepeAbdulHosein_N.SG	Tepe Abdul Hosein, Central Zagros	Iran	34.188318	48.368883000000004	F
AH2.SG	AH2	BroushakiScience2016	9921	Iran_TepeAbdulHosein_N.SG	Tepe Abdul Hosein, Central Zagros	Iran	34.188318	48.368883000000004	M
AH4.SG	AH4	BroushakiScience2016	9918	Iran_TepeAbdulHosein_N.SG	Tepe Abdul Hosein, Central Zagros	Iran	34.188318	48.368883000000004	F
F38.SG	F38	BroushakiScience2016	2833	Iran_Hasanlu_IA.SG	Hasanlu	Iran	37.005	45.458999999999996	M
WC1.SG	WC1	BroushakiScience2016	9214	Iran_Wezmeh_N.SG	Wezmeh Cave, Central Zagros	Iran	34.6129	47.1057	M
BerryAuBac_published	BerryAuBac	FuNature2016	7237	France_BerryAuBac_published	Berry Au Bac	France	49.24	3.54	M
GoyetQ116-1_published	GoyetQ116-1	FuNature2016	35208	Belgium_UP_GoyetQ116_1_published_all	Troisieme caverne of Goyet cave	Belgium	50.26	4.28	M
Paglicci108_published_d	Paglicci108	FuNature2016	27900	Italy_South_HG_Paglicci108_published_lc	Apulia, Paglicci	Italy	41.65	15.61	F
GoyetQ53-1_published_d	GoyetQ53-1	FuNature2016	28051	Belgium_UP_GoyetQ53_1_published_lc	Troisieme caverne of Goyet cave	Belgium	50.26	4.28	F
GoyetQ56-16_published_d	GoyetQ56-16	FuNature2016	26300	Belgium_UP_GoyetQ56_16_published_lc	Troisieme caverne of Goyet cave	Belgium	50.26	4.28	F
Paglicci133_published	Paglicci133	FuNature2016	33150	Italy_South_HG_Paglicci133_published	Apulia, Paglicci	Italy	41.65	15.61	M
Rigney1_published_d	Rigney1	FuNature2016	15458	France_Rigney1_published	Rigney	France	47.23	6.1	F
Burkhardtshohle_published_d	Burkhardtshohle	FuNature2016	14620	Germany_Burkhardtshohle_published	Swabian Jura, Baden-Wurttemberg, Burkhardtshöhle, Westerheim	Germany	48.32	9.35	M
Rochedane_published	Rochedane	FuNature2016	13027	France_Rochedane_published	Rochedane	France	47.21	6.45	M
Iboussieres39_published_d	Iboussieres39	FuNature2016	11741	France_Iboussieres39_published_lc	Aven des Iboussières à Malataverne, Rhône-Alpes	France	44.29	4.46	M
I0156.SG	I0156	SchiffelsNatureCommunications2016	1981	England_IA_ERoman.SG	England, South Cambridgeshire, East Anglia, Hinxton	Great Britain	52.08	0.18	M
